Datum;Zeit;Temperatur;Einheit;Sollwert;Einheit;P-Ausgabe;Einheit
13.12.2021;14:11:01,243287;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,244161;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,245036;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,245910;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,246783;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,247658;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,248532;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,249405;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,250279;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,251144;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,252010;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,252876;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,253741;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,254607;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,255472;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,256337;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,257202;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,258068;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,258934;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,259799;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,260664;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,261530;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,262396;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,263261;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,264198;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,265135;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,266073;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,267009;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,267947;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,268885;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,269821;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,270759;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,271696;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,272634;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,273571;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,274508;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,275446;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,276383;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,277320;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,278258;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,279189;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,280120;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,281051;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,281982;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,282913;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,283844;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,284775;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,285706;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,286637;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,287568;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,288498;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,289429;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,290360;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,291291;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,292222;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,293096;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,293969;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,294844;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,295717;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,296591;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,297465;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,298338;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,299212;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,300085;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,300959;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,301832;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,302706;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,303579;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,304454;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,305327;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,306201;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,307134;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,308068;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,309001;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,309934;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,310868;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,311801;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,312735;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,313668;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,314601;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,315535;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,316468;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,317402;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,318335;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,319268;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,320202;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,321076;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,321950;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,322823;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,323698;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,324571;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,325445;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,326319;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,327192;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,328066;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,328940;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,329814;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,330688;549,9;°C;550,0;°C;50,0;%
